Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.8,583000,5.7,Robert Zemeckis,108,12+,1989
6.7,130000,6.6,Peter Sohn,93,12+,2015
7.1,442000,6.2,Shawn Levy,115,16+,2021
7.0,413000,7.1,Phil Lord,112,16+,2014
7.0,360000,7.3,Jay Roach,108,0+,2000
7.7,220000,8.3,Robert Zemeckis,104,12+,1988
8.0,838000,7.9,Darren Aronofsky,108,16+,2010
6.5,181000,5.9,Wolfgang Petersen,130,12+,2000
7.4,437000,7.3,Chad Stahelski,130,18+,2019
6.6,118000,6.2,Peter Faiman,97,12+,1986
5.7,17000,0.0,Hao Ning,116,12+,2019
8.6,1800000,6.5,David Fincher,127,18+,1995
6.9,482000,6.2,David Frankel,109,14+,2006
6.0,207000,2.6,Olivier Megaton,108,12+,2014
7.0,174000,7.4,Gary Trousdale,91,6+,1996
6.8,131000,5.5,Robert Zemeckis,96,12+,2009
6.0,62000,6.2,Paul Tibbitt,92,6+,2015
7.3,308000,6.5,James Wan,134,18+,2016
9.0,1500000,9.5,Steven Spielberg,195,16+,1993
